"iteration","j","mu","sigma_2"
3,33,0.00985296509709737,0.00166078178751651
3,34,0.00289819228906997,0.00187098549330716
3,35,-0.000630863255450135,0.00182823101724919
3,36,-0.0395159593290275,0.00184005514995241
3,37,0.022151011038453,0.00200952872366977
3,38,-0.00308981648706614,0.00146818298557139
3,39,0.00321200256451112,0.00182186854258102
3,40,-0.0377596979731432,0.0026873227428676
3,41,-4.07441979510764,0.0731577893620408
4,1,0.000929277265988597,3.10292018022396e-05
4,2,0.0050971940454071,0.00176898890246917
4,3,-0.0174481165916383,0.00194623670895376
4,4,0.0246406644225685,0.00226674917280642
4,5,-0.00634844763125604,0.00160378741235345
4,6,-0.00382048070725801,0.00185876719057878
4,7,0.0164464437054969,0.0020426132216786
4,8,-0.00406074003625243,0.00162330238537801
4,9,-0.00319744351979484,0.00166344945279154
4,10,0.00488727371222556,0.00162324943665115
4,11,0.00597909398166176,0.00181844893178135
4,12,-0.0120813666068852,0.00177817253430793
4,13,0.00952060182257911,0.00170694350846208
4,14,-0.000445319558562346,0.00159166674651985
4,15,0.00778477249719353,0.00161696235945497
4,16,-0.00965804813970362,0.00179218782796129
4,17,0.0251215839578512,0.00228700759293345
4,18,-0.00479370048199885,0.00138606894716095
4,19,-0.0336145472585001,0.00233956851618974
4,20,-0.020302381973346,0.00183778065226056
4,21,0.0379996664417612,0.00254464269944766
4,22,-0.00480370721008845,0.00157927541192593
4,23,0.0384416180697275,0.00259528414925432
4,24,0.000697663106991142,0.00157782864579608
4,25,0.00587298630269297,0.00175997565882121
4,26,0.0146155458300835,0.00186129640746205
4,27,0.0196329513576707,0.00205382775243485
4,28,-0.00448943091871904,0.00167535260405899
4,29,-0.037785632763408,0.0028769204132178
4,30,-0.00740455361349101,0.0016115917495783
4,31,0.0786774559428683,0.00447656262037049
4,32,-0.0358142962872667,0.00244304435357789
4,33,0.0317467848046331,0.00254814395260976
4,34,-0.0294462587349648,0.00226646159314819
4,35,0.025981611549871,0.00210376019690199
4,36,-0.0180048334302596,0.00193412055546079
4,37,-0.000572704113276986,0.00175184291728985
4,38,0.024834310296222,0.00185775404822138
4,39,0.0278039697564679,0.00245245121096394
4,40,-0.0358780217658188,0.00268376642693815
4,41,-4.06317427770008,0.0704426053899849
5,1,0.0051135722798993,2.02562581885734e-05
5,2,-0.0404905587051196,0.00206914544698788
5,3,0.0204105023182025,0.00144051010631043
5,4,0.00557104729815812,0.0011315448509256
5,5,-0.00662025776504593,0.00110780176177919
5,6,-0.00549153661647696,0.000984445816330073
5,7,0.00542507500007346,0.00113544342323155
5,8,0.0168342402340494,0.00137847549090318
5,9,-0.018524031119228,0.00131280939499683
5,10,0.00413369322243159,0.00112166690838037
5,11,-0.00503061227977927,0.00112739804193661
5,12,-0.0111170711445832,0.00122446574865169
5,13,-0.00373492143639318,0.00104506637602707
5,14,0.00257597524903707,0.000977030560753397
5,15,-0.0342590433520958,0.00184467869336518
5,16,0.00974369486873014,0.0011199314165445
5,17,-0.00407235932847615,0.00093690947381445
5,18,-0.0187533085238246,0.00139339591318388
5,19,-0.020035804738964,0.00117073009219887
