iteration,j,mu,sigma_2
3,1,0.00885553127172688,3.50610681852856e-05
3,2,0.01168339200803,0.000566927841784377
3,3,0.000268533080709967,0.000317792146246867
3,4,0.0458867946679621,0.000479632659324082
3,5,-0.0184422948457101,0.000470447651838296
3,6,0.0415471069398375,0.000869875070357827
3,7,-0.00906166415260116,0.000363056488961557
3,8,0.0296761999615548,0.000632363378151781
3,9,-0.0484524176788184,0.000471998515231804
3,10,-0.0215767931469014,0.000681421433320828
3,11,-0.0189406793073658,0.000340278078230715
3,12,0.00264968445958344,0.000370005404003645
3,13,0.0173674699134195,0.000582587446427396
3,14,-0.0559658228249919,0.000387628334779351
3,15,0.00996536184791416,0.000720906570420297
3,16,-0.00741478624311765,0.000721511935703892
3,17,0.0374115326361035,0.000323345379056015
3,18,0.00463683087794872,0.000318654992931853
3,19,-0.0230843844567815,0.00062902899414416
3,20,0.0209446314280722,0.000736684542688227
3,21,0.0365313804572396,0.000888787020865344
3,22,-0.0842656720507133,0.000773869447359063
3,23,0.048728739020071,0.000437978467261781
3,24,-0.00303606456991015,0.000655498875839427
3,25,0.00945399299756394,0.000792543315369552
3,26,-0.0278130077226851,0.000200342826203379
3,27,0.047660567985366,0.000848103818093894
3,28,-0.0449372068013612,0.000790457242176017
3,29,0.0493047396706668,0.000359015290904439
3,30,-0.0579745951787624,0.000630552584833023
3,31,0.0656037096237505,0.000748975825240469
3,32,-0.0236195298838533,0.000331447753025554
3,33,0.0744375813938789,0.000352137464450206
3,34,0.0136656591004752,0.000437049556268026
3,35,0.0669786093169636,0.000714009852709687
3,36,-0.0357422510941786,0.000612174792121396
3,37,0.0252991130560835,0.000759576541742913
3,38,-0.0520157850342774,0.000812173607674392
3,39,0.0197385783721005,0.000268009003260645
3,40,-0.116705414267521,0.000434747375248815
3,41,-3.2132472480984,0.00761186736191652
4,1,-0.00373551654594448,6.25730010014213e-05
4,2,-0.0402658960797829,0.000277113972605454
4,3,0.00445106257087089,0.000588875199419973
4,4,0.0104855076808077,0.000442332734059081
4,5,0.0694607112726335,0.00124788654219001
4,6,-0.0219817238901732,0.000621008787084177
4,7,-0.032928122082842,0.000386094538641752
4,8,-0.0268812522203313,0.000563511367673002
4,9,0.0230712636830156,0.000666882425620838
4,10,-0.00684584964457737,0.000480260379139594
4,11,0.0483063783648928,0.000505143095378193
4,12,0.0207170739295049,0.000382764780324159
4,13,0.0217222014356894,0.000624145674569171
4,14,-0.0575695107166799,0.000836939594564729
4,15,1.81821839818659e-05,0.000315874377023389
4,16,0.00150904659519649,0.000424322520880326
4,17,0.00101811040878926,0.000524355961152638
4,18,0.00132869162349297,0.000455604160644932
4,19,0.0375450290765597,0.000643948929355795
4,20,-0.0186492953376538,0.000935902761697644
4,21,0.00341005728650682,0.000396469517821288
4,22,-0.00333388949137887,0.000284659311304245
4,23,0.0324348636913883,0.000594561377306499
4,24,-0.114524960006282,0.000466023038155971
4,25,0.0663693057176983,0.000811309727661142
4,26,-0.0320320848867224,0.000338427149882209
4,27,0.0235426314301098,0.00169958418597308
4,28,-0.0387969377023903,0.00107431335852105
4,29,0.102276720472108,0.00101281589197761
4,30,0.00285115227234645,0.000339469078330521
4,31,0.0600930049005364,0.0010553736653751
4,32,-0.0511290759687955,0.000856796744801151
4,33,0.0375354287512735,0.000758263580536978
4,34,-0.072730523157125,0.000715051473756774
4,35,0.0240139308402981,0.000455354394058392
4,36,-0.0377117366257354,0.000437881962232667
4,37,-0.0261046145256197,0.000891694753078391
4,38,-0.0905886900695214,0.000309697042308983
4,39,0.0128923482988152,0.00067251194906055
4,40,-0.0902829138227227,0.00107599729602243
4,41,-2.96746729802204,0.00738917340721269
5,1,-0.00188803002954552,8.46176580559784e-06
5,2,-0.0348843532946196,6.65784155665445e-05
5,3,-0.00710729152743872,0.000226970240005211
