"iteration","j","mu","sigma_2"
2,31,0.0143520969886389,0.00118279910760679
2,32,-0.0570932628724195,0.00273340793130259
2,33,-0.00730985829916596,0.00112669788675552
2,34,0.00956941440138429,0.00104722337905068
2,35,0.0068040514990128,0.00111558735405235
2,36,-0.00741593836972924,0.00111418313862221
2,37,0.0314569089929451,0.00146305678197669
2,38,0.0183428474419802,0.00124686893872189
2,39,0.0076100411673932,0.00106560152419009
2,40,-0.00175384382356852,0.00100662602527553
2,41,-4.17115865625098,0.0239884057941592
3,1,-0.0288203923885019,2.80263132456694e-05
3,2,-0.0217232155089794,0.00159258644538886
3,3,-0.0536890977953782,0.00270905934148973
3,4,-0.0139726219252974,0.00138002693430323
3,5,0.0150189325907401,0.00140121535522982
3,6,0.0107464808242036,0.00137254217012606
3,7,0.0323873442364954,0.00180643276312064
3,8,0.0390679656847079,0.00207752441560453
3,9,0.00226277941882174,0.00113694590580485
3,10,0.0102603675982538,0.00132908492434019
3,11,0.0214738717714834,0.00154353348702665
3,12,-0.0242636847754556,0.00169225477995427
3,13,0.00224073614501108,0.00124897309425439
3,14,-0.00244354736063717,0.00140204138352489
3,15,-0.00780995466119244,0.00133411465986227
3,16,-0.0154844682111913,0.00146923998437827
3,17,0.00028820118245624,0.00142381522073721
3,18,0.000525353689197768,0.0012287055249784
3,19,-0.0207359039806255,0.00155392539613346
3,20,0.0154152229043439,0.00117711075944439
3,21,0.0167420847199706,0.00148657613034128
3,22,-0.000921711088350269,0.00108668536390783
3,23,0.0422598162179261,0.00233609539059841
3,24,-0.00398084628331205,0.00114676968541389
3,25,-0.00442869357329739,0.000994001006318051
3,26,-0.0038718702902885,0.00118165153390874
3,27,0.017004399028164,0.00161252647257432
3,28,-0.000496123657822289,0.00129649468590796
3,29,0.018186775006128,0.00140574057717488
3,30,-0.0160454989490402,0.00144095123299636
3,31,0.0560541805301032,0.0022990635859067
3,32,-0.00752428871389956,0.00112766505530294
3,33,0.00948619753131752,0.0012616653388545
3,34,0.00308508357428479,0.00136158558016578
3,35,-0.000486713667462857,0.00135933087305225
3,36,-0.0396480728448434,0.00151132617036156
3,37,0.0213481533565132,0.00153777353359938
3,38,-0.00321298678466619,0.00113101868876627
